comparison_id	set_name	region_class	gene_id	gene_name	peak_hit_count	unique_peak_count	transcript_count	transcript_ids
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000163050.19	COQ8A	4	4	73	ENST00000366777.4;ENST00000366778.5;ENST00000366779.6;ENST00000873690.1;ENST00000873691.1;ENST00000873692.1;ENST00000873693.1;ENST00000873694.1;ENST00000873695.1;ENST00000873696.1;ENST00000873697.1;ENST00000873698.1;ENST00000873699.1;ENST00000873700.1;ENST00000873701.1;ENST00000873702.1;ENST00000873703.1;ENST00000873704.1;ENST00000873705.1;ENST00000873706.1;ENST00000873707.1;ENST00000873708.1;ENST00000873709.1;ENST00000873710.1;ENST00000873711.1;ENST00000873712.1;ENST00000873713.1;ENST00000873714.1;ENST00000873715.1;ENST00000873716.1;ENST00000873717.1;ENST00000873718.1;ENST00000873719.1;ENST00000873720.1;ENST00000873721.1;ENST00000912836.1;ENST00000912837.1;ENST00000912838.1;ENST00000912839.1;ENST00000950267.1;ENST00000950268.1;ENST00000950269.1;ENST00000950270.1;ENST00000950271.1;ENST00000950272.1;ENST00000950273.1;ENST00000950274.1;ENST00000950275.1;ENST00000950276.1;ENST00000950277.1;ENST00000950278.1;ENST00000950279.1;ENST00000950280.1;ENST00000950281.1;ENST00000950282.1;ENST00000950283.1;ENST00000950284.1;ENST00000950285.1;ENST00000950286.1;ENST00000950287.1;ENST00000950288.1;ENST00000950289.1;ENST00000950290.1;ENST00000950291.1;ENST00000950292.1;ENST00000950293.1;ENST00000950294.1;ENST00000950295.1;ENST00000950296.1;ENST00000950297.1;ENST00000950298.1;ENST00000950299.1;ENST00000950300.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000103187.8	COTL1	4	4	2	ENST00000262428.5;ENST00000564057.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000151849.17	CPAP	4	4	11	ENST00000381884.9;ENST00000868792.1;ENST00000926440.1;ENST00000926441.1;ENST00000926442.1;ENST00000926443.1;ENST00000926444.1;ENST00000926445.1;ENST00000926446.1;ENST00000926447.1;ENST00000926448.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000244703.3	CR1L	4	4	3	ENST00000441364.1;ENST00000508064.7;ENST00000824749.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000234185.2	CRCP	4	4	10	ENST00000338592.5;ENST00000395326.8;ENST00000398684.6;ENST00000431089.6;ENST00000435524.2;ENST00000450043.2;ENST00000718080.1;ENST00000870873.1;ENST00000936880.1;ENST00000936881.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000095794.21	CREM	4	4	30	ENST00000337656.8;ENST00000342105.7;ENST00000344351.5;ENST00000345491.7;ENST00000348787.6;ENST00000354759.7;ENST00000356917.9;ENST00000361599.8;ENST00000374721.8;ENST00000374726.7;ENST00000374734.7;ENST00000395887.8;ENST00000429130.7;ENST00000460270.5;ENST00000463314.5;ENST00000468236.5;ENST00000469949.6;ENST00000473940.5;ENST00000474362.5;ENST00000474931.5;ENST00000479070.5;ENST00000484283.5;ENST00000487132.6;ENST00000487763.5;ENST00000488328.5;ENST00000488741.5;ENST00000489321.5;ENST00000490511.1;ENST00000685392.1;ENST00000686585.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000009307.18	CSDE1	4	4	148	ENST00000261443.9;ENST00000339438.10;ENST00000358528.9;ENST00000369530.5;ENST00000438362.7;ENST00000529046.6;ENST00000530886.5;ENST00000534699.5;ENST00000610726.5;ENST00000684913.1;ENST00000686025.1;ENST00000686235.1;ENST00000686667.1;ENST00000686781.1;ENST00000687759.1;ENST00000688211.1;ENST00000689217.1;ENST00000689732.1;ENST00000689885.1;ENST00000689989.1;ENST00000690207.1;ENST00000691032.1;ENST00000692044.1;ENST00000692672.1;ENST00000692719.1;ENST00000693467.1;ENST00000901453.1;ENST00000901454.1;ENST00000901455.1;ENST00000901456.1;ENST00000901457.1;ENST00000901458.1;ENST00000901459.1;ENST00000901460.1;ENST00000901461.1;ENST00000901462.1;ENST00000901463.1;ENST00000901464.1;ENST00000901465.1;ENST00000901466.1;ENST00000901467.1;ENST00000901468.1;ENST00000901469.1;ENST00000901470.1;ENST00000901471.1;ENST00000901472.1;ENST00000901473.1;ENST00000901474.1;ENST00000901475.1;ENST00000901476.1;ENST00000901477.1;ENST00000901478.1;ENST00000901479.1;ENST00000901480.1;ENST00000901481.1;ENST00000901482.1;ENST00000901483.1;ENST00000901484.1;ENST00000901485.1;ENST00000901486.1;ENST00000901487.1;ENST00000901488.1;ENST00000901489.1;ENST00000901490.1;ENST00000901491.1;ENST00000901492.1;ENST00000901493.1;ENST00000901494.1;ENST00000901495.1;ENST00000901496.1;ENST00000901497.1;ENST00000901498.1;ENST00000901499.1;ENST00000901500.1;ENST00000901501.1;ENST00000901502.1;ENST00000925899.1;ENST00000925900.1;ENST00000925901.1;ENST00000925902.1;ENST00000925903.1;ENST00000925904.1;ENST00000925905.1;ENST00000925906.1;ENST00000925907.1;ENST00000925908.1;ENST00000925909.1;ENST00000925910.1;ENST00000925911.1;ENST00000925912.1;ENST00000925913.1;ENST00000967151.1;ENST00000967152.1;ENST00000967153.1;ENST00000967154.1;ENST00000967155.1;ENST00000967156.1;ENST00000967157.1;ENST00000967158.1;ENST00000967159.1;ENST00000967160.1;ENST00000967161.1;ENST00000967162.1;ENST00000967163.1;ENST00000967164.1;ENST00000967165.1;ENST00000967166.1;ENST00000967167.1;ENST00000967168.1;ENST00000967169.1;ENST00000967170.1;ENST00000967171.1;ENST00000967172.1;ENST00000967173.1;ENST00000967174.1;ENST00000967175.1;ENST00000967176.1;ENST00000967177.1;ENST00000967178.1;ENST00000967179.1;ENST00000967180.1;ENST00000967181.1;ENST00000967182.1;ENST00000967183.1;ENST00000967184.1;ENST00000967185.1;ENST00000967186.1;ENST00000967187.1;ENST00000967188.1;ENST00000967189.1;ENST00000967190.1;ENST00000967191.1;ENST00000967192.1;ENST00000967193.1;ENST00000967194.1;ENST00000967195.1;ENST00000967196.1;ENST00000967197.1;ENST00000967198.1;ENST00000967199.1;ENST00000967200.1;ENST00000967201.1;ENST00000967202.1;ENST00000967203.1;ENST00000967204.1;ENST00000967205.1;ENST00000967206.1;ENST00000967207.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000113712.19	CSNK1A1	4	4	7	ENST00000261798.10;ENST00000377843.8;ENST00000504676.5;ENST00000515435.5;ENST00000515768.6;ENST00000606719.6;ENST00000657001.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000149179.15	CSTPP1	4	4	6	ENST00000278460.12;ENST00000378615.7;ENST00000378618.6;ENST00000395460.6;ENST00000940907.1;ENST00000940908.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000159692.19	CTBP1	4	4	53	ENST00000290921.10;ENST00000382952.8;ENST00000503594.6;ENST00000625256.1;ENST00000703138.1;ENST00000703163.1;ENST00000703164.1;ENST00000703165.1;ENST00000909000.1;ENST00000909001.1;ENST00000909002.1;ENST00000909003.1;ENST00000909004.1;ENST00000909005.1;ENST00000909006.1;ENST00000909007.1;ENST00000909008.1;ENST00000909009.1;ENST00000909010.1;ENST00000909011.1;ENST00000909012.1;ENST00000909013.1;ENST00000909014.1;ENST00000909015.1;ENST00000909016.1;ENST00000909017.1;ENST00000909018.1;ENST00000909019.1;ENST00000909020.1;ENST00000927645.1;ENST00000927646.1;ENST00000927647.1;ENST00000927648.1;ENST00000927649.1;ENST00000927650.1;ENST00000927651.1;ENST00000927652.1;ENST00000927653.1;ENST00000927654.1;ENST00000927655.1;ENST00000927656.1;ENST00000927657.1;ENST00000941586.1;ENST00000941587.1;ENST00000941588.1;ENST00000941589.1;ENST00000941590.1;ENST00000941591.1;ENST00000941592.1;ENST00000941593.1;ENST00000941594.1;ENST00000941595.1;ENST00000941596.1
